'650'
'1728'
'2804'
'3882'
'4959'
'6037'
'7113'
'8185'
'9267'
'10345'
'11422'
'12500'
'13577'
'14654'
'15731'
'16808'
'17885'
'18962'
'20035'
'21116'
'22194'
'23270'
'24348'
'25424'
'26502'
'27579'
'28656'
'29734'
'30810'
'31888'
'32963'
'34041'
'35119'
'36197'
'37272'
'38345'
'39427'
'40504'
'41580'
'42660'
